Tm,Year,Season,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,OeFGPerc,OTOVPerc,ORBPerc,OFTPerFGA,DeFGPerc,DTOVPerc,DRBPerc,DFTPerFGA,Arena,Attendance
HOU,2011,2010-11,43,39,47,35,2.18,0.19,2.37,111.3,109,94.2,0.299,0.264,0.503,0.123,0.274,0.239,0.5,0.126,0.727,0.219,Toyota Center,663839
IND,2011,2010-11,37,45,38,44,-1.07,-0.3,-1.38,104.8,106,94.7,0.3,0.244,0.486,0.141,0.259,0.235,0.487,0.128,0.741,0.237,Conseco Fieldhouse,555077
LAC,2011,2010-11,32,50,32,50,-3.13,0.42,-2.71,105.3,108.7,92.8,0.332,0.23,0.496,0.151,0.284,0.234,0.499,0.128,0.732,0.25,STAPLES Center,727462
LAL,2011,2010-11,57,25,58,24,6.11,-0.1,6.01,111,104.3,90.7,0.293,0.22,0.502,0.123,0.292,0.228,0.477,0.128,0.723,0.181,STAPLES Center,778877
MEM,2011,2010-11,46,36,48,34,2.34,0.2,2.55,107.6,105.1,91.9,0.291,0.136,0.493,0.13,0.289,0.218,0.502,0.157,0.725,0.228,FedEx Forum,600687
MIA,2011,2010-11,58,24,61,21,7.46,-0.71,6.76,111.7,103.5,90.9,0.363,0.235,0.524,0.135,0.252,0.279,0.475,0.126,0.755,0.223,AmericanAirlines Arena,810930
MIL,2011,2010-11,35,47,38,44,-0.84,-0.17,-1.02,101.6,102.5,89.8,0.287,0.216,0.467,0.13,0.247,0.217,0.481,0.147,0.748,0.236,Bradley Center,631912
MIN,2011,2010-11,17,65,24,58,-6.63,0.67,-5.97,104.2,111.1,96.5,0.282,0.223,0.483,0.151,0.296,0.217,0.514,0.131,0.737,0.251,Target Center,624960
NJN,2011,2010-11,24,58,24,58,-6.24,-0.04,-6.28,103.1,109.9,89.9,0.283,0.201,0.474,0.134,0.261,0.215,0.503,0.118,0.742,0.241,Prudential Center,581378
NOH,2011,2010-11,46,36,44,38,0.89,0.39,1.28,106.2,105.2,88.7,0.296,0.192,0.493,0.128,0.251,0.226,0.501,0.144,0.762,0.22,New Orleans Arena,603088
NYK,2011,2010-11,42,40,43,39,0.78,-0.3,0.48,110.9,110.1,95.6,0.304,0.303,0.513,0.126,0.242,0.246,0.511,0.138,0.719,0.24,Madison Square Garden (IV),808879
OKC,2011,2010-11,55,27,51,31,3.79,0.02,3.81,111.2,107.2,92.7,0.363,0.212,0.501,0.131,0.274,0.299,0.493,0.129,0.736,0.228,Chesapeake Energy Arena,744068
ORL,2011,2010-11,52,30,56,26,5.46,-0.54,4.92,107.9,102,91.2,0.328,0.328,0.521,0.143,0.261,0.227,0.475,0.133,0.769,0.219,Amway Center,777852
PHI,2011,2010-11,41,41,45,37,1.5,-0.5,1.01,106.6,105,91.7,0.273,0.184,0.494,0.123,0.246,0.21,0.487,0.135,0.745,0.231,Wells Fargo Center,604823
PHO,2011,2010-11,40,42,39,43,-0.89,0.43,-0.46,109.5,110.4,94.4,0.283,0.271,0.522,0.132,0.237,0.215,0.513,0.131,0.716,0.211,US Airways Center,720249
POR,2011,2010-11,48,34,46,36,1.52,0.32,1.85,108.8,107.1,87.9,0.278,0.228,0.486,0.126,0.295,0.224,0.51,0.154,0.72,0.231,Rose Garden Arena,840924
SAC,2011,2010-11,24,58,27,55,-5.34,0.54,-4.8,103.5,109,95.2,0.284,0.183,0.48,0.144,0.299,0.208,0.513,0.135,0.744,0.233,Power Balance Pavilion,569496
SAS,2011,2010-11,61,21,56,26,5.71,0.16,5.86,111.8,105.6,92.3,0.299,0.261,0.527,0.128,0.249,0.229,0.491,0.126,0.746,0.19,AT&T Center,750879
TOR,2011,2010-11,22,60,24,58,-6.28,0.01,-6.28,106.1,112.9,92.9,0.293,0.162,0.491,0.137,0.282,0.221,0.522,0.13,0.72,0.251,Air Canada Centre,680255
UTA,2011,2010-11,39,43,36,46,-1.83,0.39,-1.44,108.1,110.1,91,0.313,0.191,0.498,0.135,0.27,0.241,0.505,0.138,0.717,0.275,EnergySolutions Arena,799982
WAS,2011,2010-11,23,59,22,60,-7.4,0.11,-7.3,102.4,110.2,93.8,0.29,0.172,0.471,0.139,0.28,0.216,0.512,0.144,0.705,0.249,Verizon Center,688466
ATL,2012,2011-12,40,26,41,25,3.44,-0.77,2.67,104.9,101.2,90.2,0.259,0.249,0.5,0.134,0.239,0.192,0.48,0.144,0.744,0.186,Philips Arena,501593
BOS,2012,2011-12,39,27,39,27,2.52,-0.26,2.26,101,98.2,90.4,0.257,0.194,0.496,0.147,0.197,0.2,0.452,0.149,0.724,0.216,TD Garden,614592
CHA,2012,2011-12,7,59,7,59,-13.91,-0.05,-13.96,95.2,110.4,91.1,0.276,0.169,0.439,0.139,0.236,0.206,0.512,0.128,0.709,0.206,Time Warner Cable Arena,486984
CHI,2012,2011-12,50,16,51,15,8.18,-0.76,7.43,107.4,98.3,89.1,0.255,0.205,0.49,0.132,0.326,0.184,0.45,0.128,0.743,0.175,United Center,731326
CLE,2012,2011-12,21,45,17,49,-7.2,-0.14,-7.34,101.1,108.9,91.3,0.307,0.238,0.463,0.143,0.289,0.22,0.508,0.131,0.722,0.202,Quicken Loans Arena,525577
DAL,2012,2011-12,36,30,35,31,0.95,0.83,1.78,103.3,102.3,91.4,0.246,0.271,0.489,0.134,0.234,0.19,0.479,0.139,0.748,0.203,American Airlines Center,671050
DEN,2012,2011-12,38,28,39,27,2.88,0.29,3.16,109.2,106.2,94.2,0.326,0.243,0.516,0.141,0.277,0.239,0.508,0.143,0.743,0.185,Pepsi Center,561966
DET,2012,2011-12,25,41,22,44,-4.79,-0.4,-5.19,101,106.3,89.2,0.279,0.175,0.468,0.15,0.281,0.21,0.5,0.142,0.728,0.226,The Palace of Auburn Hills,475638
GSW,2012,2011-12,23,43,25,41,-3.41,0.62,-2.79,105.4,109.1,92.3,0.227,0.248,0.505,0.133,0.229,0.175,0.496,0.136,0.691,0.237,Oracle Arena,622311
HOU,2012,2011-12,34,32,34,32,0.23,0.35,0.57,105.5,105.2,91.7,0.235,0.24,0.492,0.135,0.275,0.184,0.49,0.138,0.734,0.21,Toyota Center,506994
IND,2012,2011-12,42,24,41,25,3.3,-0.71,2.6,106.7,103.1,90.7,0.321,0.198,0.474,0.131,0.292,0.251,0.476,0.141,0.723,0.222,Bankers Life Fieldhouse,467561
LAC,2012,2011-12,40,26,39,27,2.56,0.26,2.82,108.5,105.7,89.2,0.287,0.269,0.502,0.127,0.295,0.195,0.492,0.142,0.732,0.245,STAPLES Center,634237
LAL,2012,2011-12,41,25,36,30,1.42,0.54,1.96,106,104.4,90.5,0.299,0.209,0.491,0.142,0.291,0.226,0.476,0.107,0.748,0.158,STAPLES Center,626901
MEM,2012,2011-12,41,25,38,28,2.02,0.42,2.43,104,101.8,90.8,0.277,0.157,0.473,0.136,0.298,0.211,0.485,0.163,0.727,0.227,FedEx Forum,518446
MIA,2012,2011-12,46,20,47,19,5.98,-0.27,5.72,106.6,100.2,91.2,0.307,0.198,0.505,0.145,0.266,0.238,0.479,0.158,0.739,0.2,AmericanAirlines Arena,657855
MIL,2012,2011-12,31,35,34,32,0.27,-0.5,-0.23,105.5,105.2,93.7,0.25,0.224,0.481,0.129,0.277,0.194,0.489,0.146,0.709,0.217,Bradley Center,485717
MIN,2012,2011-12,26,40,28,38,-2.2,0.37,-1.83,104.3,106.6,93.3,0.306,0.262,0.477,0.14,0.275,0.236,0.491,0.122,0.73,0.187,Target Center,577197
NJN,2012,2011-12,22,44,19,47,-5.98,-0.39,-6.37,102.9,109.6,90.1,0.269,0.278,0.473,0.143,0.278,0.209,0.513,0.137,0.707,0.209,Prudential Center,460719
NOH,2012,2011-12,21,45,24,42,-3.76,0.65,-3.11,100.9,105.1,88.3,0.274,0.152,0.476,0.152,0.275,0.207,0.485,0.135,0.731,0.218,New Orleans Arena,498618
NYK,2012,2011-12,36,30,41,25,3.2,-0.81,2.39,104.4,101,93.2,0.306,0.288,0.492,0.149,0.266,0.227,0.485,0.159,0.737,0.224,Madison Square Garden (IV),652179
OKC,2012,2011-12,47,19,46,20,6.12,0.32,6.44,109.8,103.2,93,0.334,0.252,0.516,0.153,0.278,0.269,0.465,0.13,0.721,0.207,Chesapeake Energy Arena,600699
ORL,2012,2011-12,37,29,35,31,0.79,-0.33,0.46,105,104.1,89,0.292,0.346,0.506,0.145,0.265,0.193,0.488,0.129,0.755,0.19,Amway Center,623587
PHI,2012,2011-12,35,31,43,23,4.24,-0.65,3.59,103.9,99.2,89.7,0.217,0.175,0.48,0.109,0.244,0.161,0.46,0.135,0.752,0.192,Wells Fargo Center,577597
PHO,2012,2011-12,33,33,32,34,-0.24,0.53,0.29,106.2,106.5,92.6,0.257,0.238,0.499,0.133,0.258,0.194,0.491,0.131,0.717,0.2,US Airways Center,514718
POR,2012,2011-12,28,38,32,34,-0.62,0.41,-0.22,105.7,106.4,91.2,0.263,0.255,0.488,0.134,0.263,0.209,0.504,0.141,0.728,0.199,Rose Garden Arena,676384
SAC,2012,2011-12,22,44,21,45,-5.68,0.73,-4.95,103.8,109.8,94.7,0.268,0.228,0.472,0.13,0.291,0.197,0.515,0.139,0.705,0.199,Power Balance Pavilion,478764
SAS,2012,2011-12,50,16,48,18,7.17,0.11,7.28,110.9,103.2,92.9,0.261,0.257,0.528,0.128,0.251,0.195,0.489,0.129,0.76,0.168,AT&T Center,607095
TOR,2012,2011-12,23,43,25,41,-3.3,-0.36,-3.67,100.8,104.5,89.3,0.274,0.209,0.475,0.148,0.259,0.211,0.475,0.128,0.754,0.26,Air Canada Centre,555584
UTA,2012,2011-12,36,30,34,32,0.62,0.3,0.92,106.8,106.1,91.4,0.302,0.153,0.481,0.13,0.302,0.227,0.493,0.138,0.738,0.245,EnergySolutions Arena,637124
WAS,2012,2011-12,20,46,22,44,-4.8,-0.34,-5.14,101,106.2,92.5,0.253,0.196,0.472,0.142,0.273,0.184,0.492,0.142,0.709,0.229,Verizon Center,552038
ATL,2013,2012-13,44,38,42,40,0.4,-0.48,-0.08,104.8,104.4,92.6,0.244,0.286,0.517,0.142,0.222,0.174,0.496,0.142,0.736,0.181,Philips Arena,620146
BOS,2013,2012-13,41,40,40,41,-0.22,-0.4,-0.62,103.1,103.3,91.7,0.263,0.215,0.503,0.141,0.201,0.204,0.482,0.142,0.733,0.216,TD Garden,744960
BRK,2013,2012-13,49,33,46,36,1.78,-0.53,1.25,108.2,106.2,88.8,0.299,0.269,0.498,0.14,0.309,0.219,0.503,0.131,0.737,0.174,Barclays Center,704702
CHA,2013,2012-13,21,61,17,65,-9.23,-0.06,-9.29,101.5,111.5,91.5,0.31,0.21,0.46,0.132,0.257,0.233,0.524,0.132,0.711,0.197,Time Warner Cable Arena,628293
CHI,2013,2012-13,45,37,42,40,0.32,-0.33,-0.02,103.5,103.2,89.3,0.259,0.189,0.47,0.136,0.294,0.201,0.477,0.132,0.736,0.206,United Center,896944
CLE,2013,2012-13,24,58,28,54,-4.68,-0.19,-4.87,104.3,109.4,92.3,0.265,0.229,0.473,0.13,0.281,0.2,0.523,0.144,0.726,0.225,Quicken Loans Arena,663882
DAL,2013,2012-13,41,41,39,43,-0.6,0.36,-0.24,105.9,106.5,94.1,0.242,0.236,0.506,0.13,0.218,0.192,0.492,0.133,0.731,0.227,American Airlines Center,821490
DEN,2013,2012-13,57,25,55,27,5.09,0.28,5.37,110.4,105.1,95.1,0.308,0.217,0.515,0.136,0.314,0.216,0.493,0.143,0.718,0.193,Pepsi Center,730616
DET,2013,2012-13,29,53,29,53,-3.99,-0.34,-4.33,103.8,108.1,90.8,0.282,0.217,0.487,0.143,0.283,0.197,0.505,0.131,0.73,0.209,The Palace of Auburn Hills,606094
GSW,2013,2012-13,47,35,44,38,0.89,0.42,1.32,106.4,105.5,94.5,0.255,0.239,0.506,0.14,0.254,0.201,0.486,0.124,0.755,0.211,Oracle Arena,794320
HOU,2013,2012-13,45,37,50,32,3.48,0.22,3.69,109.7,106.1,96.1,0.308,0.349,0.525,0.149,0.264,0.232,0.502,0.135,0.752,0.196,Toyota Center,683564
IND,2013,2012-13,49,32,52,29,4.02,-0.69,3.34,104.3,99.8,90.2,0.293,0.245,0.479,0.143,0.303,0.219,0.453,0.129,0.746,0.197,Bankers Life Fieldhouse,626069
LAC,2013,2012-13,56,26,59,23,6.45,-0.02,6.43,110.6,103.6,91.1,0.286,0.265,0.526,0.139,0.288,0.203,0.492,0.154,0.735,0.229,STAPLES Center,788293
LAL,2013,2012-13,45,37,44,38,1.16,0.32,1.48,107.8,106.6,94.4,0.345,0.303,0.512,0.139,0.27,0.239,0.496,0.119,0.743,0.163,STAPLES Center,778877
MEM,2013,2012-13,56,26,54,28,4.15,0.18,4.32,104.9,100.3,88.4,0.261,0.166,0.472,0.133,0.31,0.202,0.475,0.152,0.743,0.209,FedEx Forum,681613
MIA,2013,2012-13,66,16,62,20,7.87,-0.84,7.03,112.3,103.7,90.7,0.297,0.285,0.552,0.137,0.222,0.224,0.487,0.148,0.73,0.2,AmericanAirlines Arena,819290
MIL,2013,2012-13,38,44,37,45,-1.5,-0.33,-1.83,103.6,105.2,94.7,0.236,0.232,0.476,0.127,0.279,0.174,0.492,0.144,0.713,0.201,BMO Harris Bradley Center,616469
MIN,2013,2012-13,31,51,34,48,-2.37,0.54,-1.83,102.9,105.4,92.8,0.305,0.22,0.473,0.138,0.274,0.226,0.511,0.15,0.74,0.187,Target Center,669956
NOH,2013,2012-13,27,55,30,52,-3.87,0.75,-3.12,105.7,110.1,88.5,0.248,0.224,0.489,0.14,0.292,0.193,0.52,0.131,0.744,0.208,New Orleans Arena,565930
NYK,2013,2012-13,54,28,53,29,4.23,-0.5,3.73,111.1,106.3,89.8,0.258,0.354,0.515,0.117,0.256,0.196,0.508,0.148,0.747,0.216,Madison Square Garden (IV),780353
OKC,2013,2012-13,60,22,64,18,9.21,-0.06,9.15,112.4,102.6,93.3,0.338,0.244,0.527,0.144,0.267,0.28,0.469,0.135,0.734,0.197,Chesapeake Energy Arena,746323
ORL,2013,2012-13,20,62,22,60,-6.99,-0.14,-7.12,101.6,109.1,92.2,0.197,0.223,0.485,0.137,0.254,0.149,0.508,0.118,0.746,0.195,Amway Center,722716
PHI,2013,2012-13,34,48,31,51,-3.34,-0.17,-3.51,102,105.7,91,0.2,0.209,0.481,0.125,0.249,0.146,0.495,0.137,0.734,0.2,Wells Fargo Center,685412
PHO,2013,2012-13,25,57,23,59,-6.46,0.71,-5.75,101.2,108.1,93.4,0.234,0.21,0.477,0.143,0.27,0.174,0.512,0.142,0.719,0.208,US Airways Center,632913
POR,2013,2012-13,33,49,32,50,-3.17,0.65,-2.53,105.8,109.2,91.4,0.25,0.284,0.498,0.139,0.253,0.194,0.512,0.125,0.733,0.189,Rose Garden Arena,813012
SAC,2013,2012-13,28,54,28,54,-4.88,0.62,-4.26,106.2,111.4,93.6,0.271,0.243,0.491,0.134,0.266,0.208,0.517,0.136,0.71,0.227,Sleep Train Arena,563743
SAS,2013,2012-13,58,24,58,24,6.4,0.27,6.67,108.3,101.6,94.2,0.258,0.264,0.531,0.14,0.205,0.204,0.48,0.137,0.749,0.179,AT&T Center,755700
TOR,2013,2012-13,34,48,37,45,-1.48,-0.48,-1.96,105.9,107.5,90.4,0.274,0.249,0.488,0.13,0.255,0.216,0.5,0.136,0.734,0.247,Air Canada Centre,743936
UTA,2013,2012-13,43,39,41,41,-0.09,0.38,0.3,106.7,106.8,90.9,0.281,0.206,0.492,0.138,0.288,0.214,0.501,0.14,0.732,0.226,EnergySolutions Arena,763915
WAS,2013,2012-13,29,53,33,49,-2.54,-0.25,-2.78,100.2,103,92.2,0.261,0.223,0.475,0.142,0.246,0.191,0.483,0.137,0.746,0.206,Verizon Center,670070
ATL,2014,2013-14,38,44,40,42,-0.48,-0.4,-0.88,105.9,106.4,94.6,0.266,0.316,0.515,0.143,0.21,0.208,0.51,0.14,0.744,0.196,Philips Arena,587927
BOS,2014,2013-14,25,57,28,54,-4.46,-0.51,-4.97,102.9,107.7,93.3,0.248,0.251,0.477,0.142,0.274,0.193,0.505,0.134,0.742,0.227,TD Garden,742400
BRK,2014,2013-14,44,38,38,44,-1,-0.58,-1.58,106.7,107.7,91.4,0.313,0.301,0.514,0.141,0.217,0.236,0.509,0.149,0.723,0.236,Barclays Center,707331
CHA,2014,2013-14,43,39,40,42,-0.22,-0.67,-0.89,103.6,103.8,92.4,0.297,0.219,0.481,0.117,0.219,0.219,0.491,0.126,0.776,0.183,Time Warner Cable Arena,636268
CHI,2014,2013-14,48,34,47,35,1.85,-0.66,1.2,102.5,100.5,90.2,0.29,0.222,0.471,0.142,0.272,0.226,0.471,0.137,0.754,0.189,United Center,890370
CLE,2014,2013-14,33,49,32,50,-3.29,-0.57,-3.86,104.2,107.7,93.1,0.268,0.236,0.479,0.13,0.272,0.201,0.508,0.13,0.758,0.199,Quicken Loans Arena,710522
DAL,2014,2013-14,49,33,48,34,2.4,0.5,2.91,111.2,108.7,93.5,0.253,0.274,0.526,0.127,0.246,0.201,0.515,0.148,0.727,0.229,American Airlines Center,817982
DEN,2014,2013-14,36,46,35,47,-2.15,0.75,-1.4,106,108.2,98.1,0.306,0.278,0.497,0.14,0.275,0.222,0.5,0.128,0.745,0.233,Pepsi Center,692898
DET,2014,2013-14,29,53,31,51,-3.66,-0.48,-4.13,105.9,109.7,94.9,0.296,0.222,0.482,0.129,0.314,0.199,0.52,0.138,0.734,0.218,The Palace of Auburn Hills,616005
GSW,2014,2013-14,51,31,54,28,4.8,0.34,5.15,107.5,102.6,96.2,0.247,0.291,0.517,0.138,0.251,0.186,0.477,0.136,0.763,0.224,Oracle Arena,803436
HOU,2014,2013-14,54,28,53,29,4.56,0.5,5.06,111,106.3,96.3,0.386,0.33,0.531,0.146,0.274,0.275,0.489,0.125,0.741,0.193,Toyota Center,743082
IND,2014,2013-14,56,26,54,28,4.4,-0.77,3.63,104.1,99.3,92.5,0.29,0.235,0.49,0.143,0.249,0.226,0.46,0.129,0.768,0.197,Bankers Life Fieldhouse,717542
LAC,2014,2013-14,57,25,59,23,6.98,0.3,7.27,112.1,104.8,95.9,0.353,0.291,0.526,0.127,0.25,0.258,0.484,0.138,0.725,0.222,STAPLES Center,787692
LAL,2014,2013-14,27,55,25,57,-6.29,0.96,-5.33,104.2,110.6,98.7,0.263,0.291,0.505,0.137,0.202,0.199,0.513,0.124,0.71,0.192,STAPLES Center,771974
MEM,2014,2013-14,50,32,46,36,1.57,0.61,2.18,106.3,104.6,89.9,0.248,0.171,0.494,0.131,0.283,0.184,0.497,0.138,0.757,0.199,FedEx Forum,685458
MIA,2014,2013-14,54,28,54,28,4.76,-0.61,4.15,110.9,105.8,91.2,0.3,0.292,0.554,0.146,0.206,0.228,0.511,0.158,0.73,0.212,AmericanAirlines Arena,811036
MIL,2014,2013-14,15,67,20,62,-8.18,-0.23,-8.41,103,111.8,91.8,0.274,0.231,0.479,0.141,0.271,0.204,0.52,0.132,0.714,0.225,BMO Harris Bradley Center,552067
MIN,2014,2013-14,40,42,48,34,2.67,0.43,3.1,108.9,106.2,97.3,0.321,0.245,0.486,0.122,0.274,0.249,0.518,0.148,0.744,0.177,Target Center,597157
NOP,2014,2013-14,34,48,33,49,-2.71,0.73,-1.98,107.2,110.1,92.2,0.286,0.193,0.495,0.129,0.269,0.22,0.515,0.136,0.738,0.249,Smoothie King Center,672029
NYK,2014,2013-14,37,45,39,43,-0.79,-0.61,-1.4,108.3,109.1,90.3,0.248,0.302,0.505,0.125,0.251,0.189,0.514,0.14,0.743,0.245,Madison Square Garden (IV),812292
OKC,2014,2013-14,59,23,58,24,6.34,0.32,6.66,110.5,103.9,95.4,0.303,0.271,0.52,0.14,0.265,0.244,0.488,0.139,0.756,0.221,Chesapeake Energy Arena,746323
ORL,2014,2013-14,23,59,26,56,-5.44,-0.44,-5.88,101.7,107.4,93.6,0.253,0.235,0.487,0.139,0.224,0.193,0.504,0.13,0.755,0.211,Amway Center,666046
PHI,2014,2013-14,19,63,16,66,-10.45,-0.21,-10.66,99.4,109.9,99.2,0.268,0.258,0.475,0.148,0.248,0.19,0.524,0.149,0.724,0.244,Wells Fargo Center,568632
PHO,2014,2013-14,48,34,48,34,2.63,0.39,3.02,109.5,106.7,95.8,0.293,0.3,0.519,0.14,0.264,0.222,0.496,0.139,0.737,0.237,US Airways Center,650739
POR,2014,2013-14,54,28,52,30,3.99,0.45,4.44,111.5,107.4,94.9,0.27,0.29,0.504,0.124,0.28,0.22,0.488,0.11,0.747,0.194,Moda Center,809612
SAC,2014,2013-14,28,54,33,49,-2.9,0.82,-2.08,105.7,108.8,94.4,0.331,0.218,0.484,0.139,0.278,0.251,0.512,0.127,0.766,0.234,Sleep Train Arena,667949
SAS,2014,2013-14,62,20,61,21,7.72,0.28,8,110.5,102.4,95,0.24,0.257,0.537,0.135,0.227,0.188,0.482,0.128,0.764,0.184,AT&T Center,755031
TOR,2014,2013-14,48,34,50,32,3.24,-0.69,2.55,108.8,105.3,91.8,0.306,0.285,0.498,0.132,0.272,0.239,0.493,0.141,0.749,0.237,Air Canada Centre,748339
UTA,2014,2013-14,25,57,22,60,-7.17,0.91,-6.27,103.5,111.3,91.4,0.271,0.237,0.484,0.139,0.255,0.202,0.518,0.121,0.745,0.227,EnergySolutions Arena,745203
WAS,2014,2013-14,44,38,45,37,1.27,-0.79,0.48,106,104.6,93.2,0.248,0.246,0.506,0.136,0.252,0.181,0.504,0.15,0.757,0.22,Verizon Center,698068
ATL,2015,2014-15,60,22,56,26,5.43,-0.68,4.75,108.9,103.1,93.9,0.259,0.321,0.527,0.135,0.214,0.201,0.492,0.149,0.734,0.185,Philips Arena,713909
BOS,2015,2014-15,40,42,41,41,0.16,-0.56,-0.4,104.7,104.5,95.8,0.233,0.28,0.489,0.125,0.247,0.176,0.494,0.137,0.75,0.208,TD Garden,721350
BRK,2015,2014-15,38,44,33,49,-2.88,-0.25,-3.13,104.4,107.4,92.7,0.267,0.24,0.491,0.13,0.239,0.2,0.506,0.129,0.737,0.185,Barclays Center,698529
CHI,2015,2014-15,50,32,50,32,3,-0.46,2.54,107.5,104.3,92.8,0.304,0.269,0.489,0.129,0.27,0.238,0.473,0.113,0.744,0.182,United Center,886612
CHO,2015,2014-15,33,49,32,50,-3.17,-0.27,-3.44,100.1,103.5,93,0.269,0.226,0.456,0.112,0.221,0.202,0.487,0.12,0.793,0.188,Time Warner Cable Arena,704886
CLE,2015,2014-15,53,29,53,29,4.48,-0.4,4.08,111.1,106.3,92.3,0.287,0.334,0.52,0.134,0.268,0.216,0.502,0.126,0.747,0.177,Quicken Loans Arena,843042
DAL,2015,2014-15,50,32,49,33,2.9,0.46,3.36,109.5,106.4,95.2,0.262,0.296,0.515,0.119,0.236,0.197,0.503,0.147,0.722,0.204,American Airlines Center,827702
DEN,2015,2014-15,30,52,31,51,-3.55,0.48,-3.07,104.5,108.2,96.1,0.278,0.284,0.479,0.127,0.266,0.204,0.504,0.13,0.747,0.239,Pepsi Center,602707
DET,2015,2014-15,32,50,38,44,-1,-0.39,-1.39,105.3,106.4,92.8,0.261,0.29,0.482,0.123,0.277,0.184,0.502,0.132,0.75,0.192,The Palace of Auburn Hills,625917
GSW,2015,2014-15,67,15,65,17,10.1,-0.09,10.01,111.6,101.4,98.3,0.239,0.311,0.54,0.131,0.241,0.184,0.47,0.143,0.745,0.217,Oracle Arena,803436
HOU,2015,2014-15,56,26,50,32,3.44,0.38,3.82,107,103.4,96.5,0.312,0.392,0.512,0.15,0.268,0.223,0.486,0.146,0.729,0.208,Toyota Center,747412
IND,2015,2014-15,38,44,42,40,0.28,-0.51,-0.23,103.5,103.2,93.2,0.266,0.255,0.484,0.131,0.24,0.201,0.478,0.12,0.779,0.217,Bankers Life Fieldhouse,691434
LAC,2015,2014-15,56,26,58,24,6.59,0.22,6.8,112.4,105.5,94.7,0.303,0.322,0.533,0.116,0.228,0.215,0.493,0.132,0.757,0.231,STAPLES Center,785892
LAL,2015,2014-15,21,61,23,59,-6.84,0.67,-6.17,103.4,110.6,94,0.276,0.22,0.473,0.121,0.254,0.204,0.518,0.121,0.763,0.231,STAPLES Center,768244
MEM,2015,2014-15,55,27,50,32,3.24,0.38,3.62,105.7,102.2,92,0.276,0.184,0.489,0.126,0.247,0.214,0.492,0.145,0.753,0.183,FedEx Forum,710502
MIA,2015,2014-15,37,45,33,49,-2.6,-0.32,-2.92,103.9,106.7,90.9,0.306,0.262,0.5,0.145,0.232,0.227,0.505,0.142,0.734,0.213,AmericanAirlines Arena,808223
MIL,2015,2014-15,41,41,42,40,0.43,-0.52,-0.09,102.7,102.2,94.1,0.258,0.223,0.499,0.155,0.254,0.195,0.487,0.159,0.733,0.221,BMO Harris Bradley Center,593910
MIN,2015,2014-15,16,66,19,63,-8.79,0.79,-8,102.9,112.2,94.4,0.309,0.179,0.468,0.137,0.266,0.24,0.537,0.139,0.716,0.187,Target Center,595652
NOP,2015,2014-15,45,37,43,39,0.79,0.34,1.13,108.2,107.3,91.4,0.263,0.233,0.501,0.125,0.271,0.198,0.496,0.117,0.751,0.195,Smoothie King Center,683757
