Tm,Year,Season,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,OeFGPerc,OTOVPerc,ORBPerc,OFTPerFGA,DeFGPerc,DTOVPerc,DRBPerc,DFTPerFGA,Arena,Attendance
NYK,2015,2014-15,17,65,17,65,-9.32,-0.18,-9.5,99.9,110,91.2,0.234,0.24,0.47,0.14,0.245,0.18,0.512,0.133,0.731,0.234,Madison Square Garden (IV),812292
OKC,2015,2014-15,45,37,47,35,2.18,0.28,2.47,107.8,105.5,95.7,0.284,0.262,0.492,0.131,0.289,0.214,0.489,0.124,0.756,0.213,Chesapeake Energy Arena,746323
ORL,2015,2014-15,25,57,25,57,-5.72,-0.15,-5.87,101.6,107.7,93.8,0.23,0.235,0.494,0.14,0.231,0.168,0.514,0.136,0.76,0.21,Amway Center,688194
PHI,2015,2014-15,18,64,18,64,-8.98,-0.07,-9.04,95.5,104.8,95.7,0.288,0.319,0.459,0.16,0.255,0.195,0.497,0.152,0.73,0.225,Wells Fargo Center,571572
PHO,2015,2014-15,39,43,38,44,-0.9,0.52,-0.38,105.3,106.2,96.3,0.251,0.291,0.501,0.137,0.245,0.191,0.497,0.14,0.735,0.221,US Airways Center,693862
POR,2015,2014-15,51,31,53,29,4.23,0.18,4.41,108.2,103.7,94.2,0.225,0.316,0.508,0.126,0.242,0.18,0.476,0.113,0.762,0.182,Moda Center,798368
SAC,2015,2014-15,29,53,31,51,-3.71,0.64,-3.07,105.3,109.2,95.4,0.363,0.204,0.49,0.148,0.265,0.276,0.507,0.118,0.752,0.2,Sleep Train Arena,680049
SAS,2015,2014-15,55,27,58,24,6.2,0.14,6.34,108.5,102,93.8,0.256,0.269,0.517,0.131,0.234,0.2,0.484,0.133,0.773,0.19,AT&T Center,762855
TOR,2015,2014-15,49,33,49,33,3.07,-0.62,2.45,111,107.7,92.8,0.295,0.302,0.508,0.12,0.256,0.232,0.506,0.134,0.733,0.208,Air Canada Centre,809824
UTA,2015,2014-15,38,44,42,40,0.22,0.49,0.71,105.1,104.9,90.4,0.297,0.274,0.494,0.146,0.291,0.214,0.491,0.128,0.763,0.199,EnergySolutions Arena,772059
WAS,2015,2014-15,46,36,43,39,0.72,-0.55,0.17,103.7,103,93.7,0.259,0.203,0.499,0.14,0.249,0.192,0.481,0.129,0.773,0.21,Verizon Center,747796
ATL,2016,2015-16,48,34,51,31,3.61,-0.12,3.49,105.1,101.4,97.1,0.237,0.336,0.516,0.138,0.191,0.185,0.48,0.144,0.746,0.194,Philips Arena,690150
BOS,2016,2015-16,48,34,50,32,3.21,-0.37,2.84,106.8,103.6,98.5,0.264,0.293,0.488,0.121,0.251,0.208,0.487,0.146,0.746,0.231,TD Garden,749076
BRK,2016,2015-16,21,61,22,60,-7.35,0.24,-7.12,103.2,110.9,95.2,0.246,0.218,0.492,0.136,0.241,0.186,0.534,0.131,0.757,0.176,Barclays Center,620142
CHI,2016,2015-16,42,40,37,45,-1.48,0.01,-1.46,105,106.5,95.7,0.24,0.244,0.487,0.126,0.245,0.189,0.485,0.107,0.749,0.182,United Center,894659
CHO,2016,2015-16,48,34,49,33,2.72,-0.36,2.36,107.1,104.3,95.7,0.28,0.348,0.502,0.117,0.2,0.222,0.496,0.125,0.798,0.191,Time Warner Cable Arena,716894
CLE,2016,2015-16,57,25,57,25,6,-0.55,5.45,110.9,104.5,93.3,0.259,0.352,0.524,0.127,0.251,0.194,0.496,0.126,0.785,0.205,Quicken Loans Arena,843042
DAL,2016,2015-16,42,40,40,42,-0.3,0.29,-0.02,106.7,107,94.3,0.265,0.339,0.502,0.12,0.206,0.211,0.504,0.128,0.762,0.198,American Airlines Center,825901
DEN,2016,2015-16,33,49,33,49,-3.1,0.29,-2.81,105.6,108.9,95.7,0.282,0.277,0.489,0.132,0.258,0.216,0.515,0.126,0.773,0.216,Pepsi Center,577898
DET,2016,2015-16,44,38,43,39,0.61,-0.18,0.43,106.1,105.5,95.1,0.296,0.303,0.491,0.122,0.27,0.197,0.504,0.125,0.793,0.196,The Palace of Auburn Hills,677138
GSW,2016,2015-16,73,9,65,17,10.76,-0.38,10.38,114.5,103.8,99.3,0.25,0.362,0.563,0.135,0.235,0.191,0.479,0.126,0.76,0.208,Oracle Arena,803436
HOU,2016,2015-16,41,41,42,40,0.2,0.14,0.34,108.3,108.1,97.6,0.352,0.37,0.516,0.142,0.257,0.244,0.516,0.147,0.728,0.219,Toyota Center,737244
IND,2016,2015-16,45,37,46,36,1.71,-0.09,1.62,104.6,102.9,96.6,0.268,0.27,0.497,0.135,0.234,0.205,0.489,0.143,0.76,0.205,Bankers Life Fieldhouse,690733
LAC,2016,2015-16,53,29,53,29,4.28,-0.15,4.13,108.3,103.8,95.8,0.318,0.324,0.524,0.121,0.201,0.22,0.48,0.138,0.738,0.222,STAPLES Center,786910
LAL,2016,2015-16,17,65,17,65,-9.56,0.64,-8.92,101.6,111.6,95.6,0.292,0.29,0.46,0.125,0.231,0.228,0.523,0.116,0.747,0.202,STAPLES Center,778877
MEM,2016,2015-16,42,40,35,47,-2.24,0.11,-2.14,105.4,107.8,93.3,0.295,0.222,0.477,0.123,0.253,0.231,0.518,0.152,0.751,0.251,FedEx Forum,701894
MIA,2016,2015-16,48,34,46,36,1.65,-0.14,1.5,106.1,104.4,93.6,0.282,0.221,0.508,0.133,0.238,0.21,0.485,0.121,0.778,0.196,AmericanAirlines Arena,809350
MIL,2016,2015-16,33,49,29,53,-4.18,0.2,-3.98,104.3,108.7,94.2,0.276,0.189,0.499,0.142,0.249,0.207,0.51,0.142,0.731,0.221,BMO Harris Bradley Center,621808
MIN,2016,2015-16,29,53,31,51,-3.54,0.15,-3.38,106.5,110.1,95.2,0.332,0.202,0.498,0.139,0.243,0.263,0.524,0.136,0.747,0.2,Target Center,581178
NOP,2016,2015-16,30,52,31,51,-3.79,0.24,-3.56,105.6,109.5,96.8,0.259,0.277,0.498,0.123,0.212,0.201,0.523,0.127,0.788,0.225,Smoothie King Center,688549
NYK,2016,2015-16,32,50,33,49,-2.73,0,-2.74,104.6,107.6,93.4,0.255,0.256,0.483,0.126,0.237,0.205,0.487,0.105,0.758,0.204,Madison Square Garden (IV),812292
OKC,2016,2015-16,55,27,59,23,7.28,-0.19,7.09,113.1,105.6,96.7,0.292,0.275,0.524,0.14,0.311,0.228,0.484,0.117,0.76,0.205,Chesapeake Energy Arena,746323
ORL,2016,2015-16,35,47,36,46,-1.62,-0.06,-1.68,105.1,106.8,96,0.232,0.255,0.5,0.128,0.231,0.175,0.513,0.138,0.765,0.215,Amway Center,719275
PHI,2016,2015-16,10,72,16,66,-10.23,0.31,-9.92,98.8,109.2,97.9,0.269,0.327,0.487,0.148,0.206,0.186,0.51,0.135,0.74,0.24,Wells Fargo Center,614650
PHO,2016,2015-16,23,59,24,58,-6.66,0.34,-6.32,102.2,109,98.5,0.271,0.302,0.487,0.152,0.254,0.204,0.523,0.135,0.771,0.237,Talking Stick Resort Arena,701405
POR,2016,2015-16,44,38,43,39,0.83,0.15,0.98,108.8,108,96,0.268,0.332,0.511,0.132,0.259,0.202,0.503,0.121,0.762,0.225,Moda Center,794085
SAC,2016,2015-16,33,49,34,48,-2.48,0.16,-2.32,106,108.4,100,0.295,0.26,0.51,0.142,0.239,0.214,0.521,0.14,0.749,0.202,Sleep Train Arena,707526
SAS,2016,2015-16,67,15,67,15,10.63,-0.36,10.28,110.3,99,93.8,0.246,0.223,0.526,0.124,0.23,0.197,0.477,0.141,0.791,0.182,AT&T Center,756445
TOR,2016,2015-16,56,26,53,29,4.5,-0.42,4.08,110,105.2,92.9,0.328,0.287,0.504,0.123,0.246,0.255,0.498,0.127,0.777,0.201,Air Canada Centre,812863
UTA,2016,2015-16,40,42,46,36,1.79,0.05,1.84,105.9,103.9,91,0.286,0.297,0.501,0.142,0.259,0.213,0.495,0.135,0.777,0.21,Vivint Smart Home Arena,791489
WAS,2016,2015-16,41,41,40,42,-0.5,0,-0.5,105.3,105.8,98.5,0.263,0.282,0.511,0.131,0.206,0.192,0.515,0.146,0.777,0.218,Verizon Center,725426
ATL,2017,2016-17,43,39,39,43,-0.85,-0.38,-1.23,104.9,105.7,97.4,0.295,0.309,0.504,0.142,0.236,0.215,0.507,0.138,0.761,0.179,Philips Arena,654306
BOS,2017,2016-17,53,29,48,34,2.63,-0.39,2.25,111.2,108.4,96.8,0.273,0.393,0.525,0.122,0.212,0.22,0.503,0.126,0.753,0.223,TD Garden,760690
BRK,2017,2016-17,20,62,24,58,-6.73,-0.01,-6.74,104.1,110.7,101.3,0.289,0.371,0.507,0.147,0.196,0.228,0.513,0.116,0.761,0.212,Barclays Center,632608
CHI,2017,2016-17,41,41,42,40,0.43,-0.39,0.03,107.4,107,95.3,0.259,0.256,0.487,0.123,0.27,0.206,0.507,0.124,0.768,0.169,United Center,888882
CHO,2017,2016-17,36,46,42,40,0.2,-0.26,-0.07,108.8,108.6,95.7,0.279,0.335,0.501,0.107,0.199,0.227,0.523,0.121,0.796,0.164,Spectrum Center,710643
CLE,2017,2016-17,51,31,49,33,3.18,-0.31,2.87,113.6,110.3,96.2,0.275,0.399,0.547,0.126,0.219,0.206,0.516,0.114,0.758,0.174,Quicken Loans Arena,843042
DAL,2017,2016-17,33,49,33,49,-2.93,0.4,-2.53,105.6,108.8,92.2,0.225,0.366,0.505,0.116,0.181,0.18,0.529,0.144,0.776,0.218,American Airlines Center,811366
DEN,2017,2016-17,40,42,42,40,0.51,0.19,0.7,113.2,112.7,98.3,0.276,0.329,0.53,0.132,0.273,0.214,0.532,0.109,0.787,0.194,Pepsi Center,605585
DET,2017,2016-17,37,45,38,44,-1.12,-0.17,-1.29,106,107.1,95,0.218,0.263,0.492,0.109,0.241,0.157,0.516,0.121,0.812,0.197,The Palace of Auburn Hills,655141
GSW,2017,2016-17,67,15,67,15,11.63,-0.28,11.35,115.6,104,99.8,0.259,0.359,0.563,0.132,0.228,0.204,0.486,0.135,0.749,0.198,Oracle Arena,803436
HOU,2017,2016-17,55,27,55,27,5.77,0.08,5.84,114.7,109,100,0.304,0.462,0.545,0.133,0.246,0.233,0.519,0.132,0.758,0.194,Toyota Center,695903
IND,2017,2016-17,42,40,40,42,-0.22,-0.42,-0.64,108.6,108.8,95.9,0.261,0.272,0.516,0.128,0.212,0.212,0.512,0.136,0.755,0.225,Bankers Life Fieldhouse,684578
LAC,2017,2016-17,51,31,52,30,4.29,0.13,4.42,112.7,108.2,96.1,0.312,0.329,0.537,0.12,0.215,0.233,0.506,0.121,0.769,0.211,STAPLES Center,782609
LAL,2017,2016-17,26,56,24,58,-6.88,0.58,-6.29,106,113,98.5,0.259,0.295,0.501,0.135,0.25,0.195,0.542,0.13,0.758,0.213,STAPLES Center,776917
MEM,2017,2016-17,43,39,42,40,0.49,0.47,0.96,107.7,107.1,92.3,0.28,0.316,0.491,0.121,0.248,0.219,0.506,0.136,0.775,0.256,FedEx Forum,677314
MIA,2017,2016-17,41,41,44,38,1.06,-0.29,0.77,107.8,106.7,95.2,0.251,0.314,0.512,0.124,0.242,0.177,0.496,0.126,0.764,0.22,AmericanAirlines Arena,805400
MIL,2017,2016-17,42,40,40,42,-0.18,-0.26,-0.45,109.1,109.3,94.5,0.274,0.29,0.527,0.132,0.215,0.21,0.518,0.136,0.754,0.215,BMO Harris Bradley Center,648952
MIN,2017,2016-17,31,51,38,44,-1.11,0.47,-0.64,110.8,112,94.6,0.287,0.249,0.511,0.129,0.272,0.229,0.535,0.132,0.759,0.212,Target Center,607203
NOP,2017,2016-17,34,48,35,47,-2.1,0.41,-1.69,105.2,107.4,98,0.256,0.308,0.504,0.117,0.185,0.192,0.509,0.124,0.768,0.177,Smoothie King Center,663099
NYK,2017,2016-17,31,51,31,51,-3.67,-0.2,-3.87,107.7,111.5,96,0.239,0.279,0.496,0.124,0.266,0.188,0.511,0.117,0.741,0.214,Madison Square Garden (IV),810741
OKC,2017,2016-17,47,35,43,39,0.76,0.39,1.14,108.3,107.5,97.8,0.295,0.295,0.5,0.132,0.279,0.22,0.511,0.125,0.79,0.218,Chesapeake Energy Arena,746323
ORL,2017,2016-17,29,53,24,58,-6.57,-0.04,-6.61,103.7,110.5,96.8,0.246,0.3,0.489,0.121,0.216,0.184,0.523,0.119,0.774,0.201,Amway Center,727875
PHI,2017,2016-17,28,54,26,56,-5.7,-0.14,-5.83,103.2,108.9,98.5,0.258,0.349,0.501,0.149,0.224,0.199,0.512,0.135,0.753,0.234,Wells Fargo Center,710557
PHO,2017,2016-17,24,58,27,55,-5.63,0.49,-5.14,106.6,112.2,100.3,0.297,0.255,0.493,0.134,0.26,0.231,0.525,0.131,0.764,0.264,Talking Stick Resort Arena,708639
POR,2017,2016-17,41,41,40,42,-0.52,0.3,-0.23,110.3,110.8,96.7,0.275,0.322,0.52,0.125,0.23,0.214,0.508,0.116,0.768,0.241,Moda Center,792029
SAC,2017,2016-17,32,50,31,51,-3.88,0.58,-3.29,107.3,111.3,94.9,0.284,0.291,0.516,0.137,0.21,0.22,0.528,0.129,0.763,0.227,Golden 1 Center,721928
SAS,2017,2016-17,61,21,60,22,7.2,-0.06,7.13,111.1,103.5,94.2,0.263,0.281,0.524,0.126,0.24,0.21,0.492,0.135,0.776,0.192,AT&T Center,755347
TOR,2017,2016-17,51,31,52,30,4.21,-0.56,3.65,112.3,107.8,94.7,0.293,0.289,0.517,0.118,0.25,0.233,0.507,0.135,0.763,0.223,Air Canada Centre,813050
UTA,2017,2016-17,51,31,52,30,3.94,0.06,4,109.6,105.3,91.6,0.288,0.327,0.526,0.132,0.232,0.215,0.493,0.118,0.789,0.195,Vivint Smart Home Arena,806142
WAS,2017,2016-17,49,33,46,36,1.8,-0.45,1.36,111.2,109.3,97.4,0.254,0.284,0.528,0.128,0.241,0.199,0.524,0.138,0.755,0.213,Verizon Center,697107
ATL,2018,2017-18,24,58,27,55,-5.45,0.15,-5.3,105,110.6,98.3,0.236,0.363,0.512,0.141,0.211,0.185,0.536,0.136,0.762,0.183,Philips Arena,590769
BOS,2018,2017-18,55,27,51,31,3.59,-0.35,3.23,107.6,103.9,96,0.243,0.357,0.518,0.13,0.215,0.188,0.495,0.13,0.784,0.191,TD Garden,763584
BRK,2018,2017-18,28,54,31,51,-3.74,0.07,-3.67,106.9,110.6,98.9,0.26,0.411,0.514,0.136,0.21,0.201,0.517,0.11,0.77,0.201,Barclays Center,640010
CHI,2018,2017-18,27,55,23,59,-7.04,0.2,-6.84,103.8,110.9,98.3,0.216,0.35,0.497,0.126,0.206,0.164,0.542,0.124,0.806,0.184,United Center,851824
CHO,2018,2017-18,36,46,42,40,0.26,-0.19,0.07,109.4,109.1,98.4,0.312,0.314,0.508,0.114,0.222,0.233,0.532,0.124,0.807,0.165,Spectrum Center,671404
CLE,2018,2017-18,50,32,43,39,0.94,-0.35,0.59,112.9,111.9,98,0.275,0.379,0.547,0.126,0.201,0.214,0.54,0.122,0.773,0.166,Quicken Loans Arena,843042
DAL,2018,2017-18,24,58,33,49,-3.04,0.34,-2.7,106.3,109.5,95.6,0.217,0.382,0.513,0.116,0.18,0.166,0.532,0.129,0.789,0.193,American Airlines Center,811453
DEN,2018,2017-18,46,36,45,37,1.48,0.09,1.57,112.5,111,96.8,0.258,0.357,0.536,0.134,0.257,0.198,0.539,0.126,0.775,0.173,Pepsi Center,702796
DET,2018,2017-18,39,43,41,41,-0.15,-0.11,-0.26,107.2,107.3,96.2,0.227,0.333,0.512,0.123,0.227,0.169,0.524,0.137,0.785,0.172,Little Caesars Arena,713945
GSW,2018,2017-18,58,24,56,26,5.98,-0.19,5.79,113.6,107.6,99.6,0.239,0.339,0.569,0.141,0.21,0.195,0.504,0.126,0.763,0.186,Oracle Arena,803436
HOU,2018,2017-18,65,17,61,21,8.48,-0.27,8.21,114.7,106.1,97.6,0.298,0.502,0.551,0.127,0.213,0.233,0.521,0.134,0.799,0.171,Toyota Center,732722
IND,2018,2017-18,48,34,45,37,1.38,-0.2,1.18,109.5,108.1,96,0.222,0.284,0.525,0.123,0.227,0.173,0.527,0.142,0.762,0.174,Bankers Life Fieldhouse,658119
LAC,2018,2017-18,42,40,41,41,0.04,0.11,0.15,110.3,110.2,98.7,0.299,0.314,0.527,0.132,0.235,0.222,0.52,0.126,0.761,0.203,STAPLES Center,697812
LAL,2018,2017-18,35,47,37,45,-1.55,0.11,-1.44,106.5,108,100.3,0.264,0.329,0.517,0.138,0.236,0.188,0.514,0.125,0.777,0.19,STAPLES Center,776327
MEM,2018,2017-18,22,60,25,57,-6.21,0.39,-5.81,104.5,111,94.9,0.255,0.317,0.5,0.14,0.224,0.201,0.529,0.138,0.765,0.256,FedEx Forum,653863
MIA,2018,2017-18,44,38,42,40,0.48,-0.33,0.15,106.8,106.3,95.6,0.229,0.358,0.52,0.133,0.215,0.173,0.507,0.131,0.79,0.215,AmericanAirlines Arena,804850
MIL,2018,2017-18,44,38,40,42,-0.3,-0.15,-0.45,109.8,110.1,96.2,0.281,0.297,0.531,0.129,0.204,0.22,0.528,0.142,0.759,0.22,BMO Harris Bradley Center,685303
MIN,2018,2017-18,47,35,47,35,2.23,0.12,2.35,113.4,111.1,96,0.28,0.261,0.523,0.114,0.244,0.225,0.539,0.139,0.764,0.189,Target Center,699308
NOP,2018,2017-18,48,34,44,38,1.3,0.18,1.48,109.6,108.3,100.5,0.237,0.319,0.541,0.133,0.2,0.183,0.513,0.125,0.767,0.175,Smoothie King Center,673920
NYK,2018,2017-18,29,53,32,50,-3.56,0.03,-3.53,107.1,110.7,96.8,0.216,0.266,0.51,0.133,0.241,0.17,0.522,0.122,0.767,0.208,Madison Square Garden (IV),792608
OKC,2018,2017-18,48,34,50,32,3.41,0,3.42,110.7,107.2,96.7,0.275,0.345,0.514,0.124,0.277,0.197,0.525,0.147,0.774,0.193,Chesapeake Energy Arena,746322
ORL,2018,2017-18,25,57,28,54,-4.82,-0.1,-4.92,105.2,110.1,98.1,0.238,0.342,0.512,0.133,0.2,0.18,0.525,0.128,0.756,0.187,Amway Center,734531
PHI,2018,2017-18,52,30,53,29,4.5,-0.2,4.3,109.5,105,99.8,0.263,0.344,0.535,0.146,0.253,0.198,0.492,0.126,0.786,0.218,Wells Fargo Center,833503
PHO,2018,2017-18,21,61,19,63,-9.37,0.57,-8.8,103.5,112.8,100.3,0.275,0.32,0.495,0.139,0.225,0.203,0.533,0.119,0.765,0.212,Talking Stick Resort Arena,690576
POR,2018,2017-18,49,33,48,34,2.6,0,2.6,109.1,106.4,96.5,0.24,0.324,0.511,0.123,0.233,0.192,0.503,0.117,0.791,0.193,Moda Center,795750
SAC,2018,2017-18,27,55,23,59,-6.99,0.39,-6.6,103.7,111.1,94.9,0.194,0.278,0.502,0.128,0.215,0.143,0.542,0.135,0.776,0.199,Golden 1 Center,714680
SAS,2018,2017-18,47,35,49,33,2.89,0,2.89,107.9,104.8,95,0.245,0.282,0.507,0.122,0.237,0.189,0.507,0.132,0.786,0.17,AT&T Center,754562
TOR,2018,2017-18,59,23,60,22,7.78,-0.49,7.29,113.8,105.9,97.4,0.25,0.377,0.539,0.121,0.23,0.198,0.501,0.13,0.777,0.212,Air Canada Centre,813431
UTA,2018,2017-18,48,34,53,29,4.3,0.17,4.47,108.4,103.9,95.7,0.26,0.357,0.527,0.137,0.215,0.202,0.506,0.14,0.798,0.19,Vivint Smart Home Arena,734806
WAS,2018,2017-18,43,39,43,39,0.59,-0.06,0.53,109.3,108.7,96.6,0.254,0.31,0.525,0.133,0.235,0.196,0.522,0.136,0.771,0.212,Capital One Arena,739302
ATL,2019,2018-19,29,53,27,55,-6.02,-0.04,-6.06,108.1,113.9,103.9,0.255,0.403,0.522,0.143,0.247,0.192,0.541,0.128,0.764,0.237,State Farm Arena,628440
BOS,2019,2018-19,49,33,52,30,4.44,-0.54,3.9,112.2,107.8,99.6,0.215,0.381,0.534,0.115,0.216,0.173,0.514,0.134,0.77,0.198,TD Garden,763584
BRK,2019,2018-19,42,40,41,41,-0.07,-0.33,-0.4,109.6,109.7,100.8,0.284,0.403,0.52,0.13,0.238,0.211,0.512,0.116,0.764,0.19,Barclays Center,612597
CHI,2019,2018-19,22,60,21,61,-8.41,0.1,-8.32,104.8,113.2,99,0.235,0.295,0.505,0.127,0.194,0.184,0.541,0.119,0.773,0.188,United Center,823475
CHO,2019,2018-19,39,43,38,44,-1.1,-0.22,-1.32,111.4,112.5,98.7,0.257,0.378,0.514,0.109,0.217,0.205,0.538,0.121,0.771,0.179,Spectrum Center,676570
CLE,2019,2018-19,19,63,19,63,-9.61,0.22,-9.39,107.7,117.6,96.6,0.236,0.332,0.503,0.122,0.237,0.187,0.564,0.115,0.77,0.181,Quicken Loans Arena,793337
DAL,2019,2018-19,33,49,38,44,-1.28,0.42,-0.87,109.4,110.7,99,0.291,0.422,0.519,0.127,0.227,0.216,0.522,0.116,0.775,0.191,American Airlines Center,820569
DEN,2019,2018-19,54,28,51,31,3.95,0.24,4.19,113,108.9,97.7,0.232,0.348,0.527,0.119,0.266,0.175,0.521,0.123,0.78,0.194,Pepsi Center,756457
DET,2019,2018-19,41,41,40,42,-0.24,-0.31,-0.56,109,109.2,97.4,0.262,0.394,0.509,0.123,0.248,0.195,0.526,0.128,0.787,0.211,Little Caesars Arena,675963
GSW,2019,2018-19,57,25,56,26,6.46,-0.04,6.42,115.9,109.5,100.9,0.227,0.384,0.565,0.126,0.225,0.182,0.508,0.117,0.771,0.205,Oracle Arena,803436
HOU,2019,2018-19,53,29,53,29,4.77,0.19,4.96,115.5,110.7,97.9,0.279,0.519,0.542,0.12,0.228,0.221,0.525,0.134,0.744,0.21,Toyota Center,740392
IND,2019,2018-19,48,34,50,32,3.33,-0.57,2.76,109.9,106.5,98.1,0.242,0.292,0.53,0.124,0.219,0.182,0.516,0.141,0.762,0.184,Bankers Life Fieldhouse,689310
LAC,2019,2018-19,48,34,43,39,0.85,0.23,1.09,112.4,111.5,101.7,0.326,0.295,0.529,0.127,0.22,0.258,0.514,0.114,0.76,0.224,STAPLES Center,710327
LAL,2019,2018-19,37,45,37,45,-1.72,0.39,-1.33,107.8,109.5,103.2,0.257,0.342,0.527,0.134,0.222,0.18,0.516,0.122,0.764,0.192,STAPLES Center,778877
MEM,2019,2018-19,33,49,34,48,-2.6,0.51,-2.08,106.1,108.8,96.6,0.272,0.342,0.508,0.129,0.2,0.21,0.521,0.139,0.776,0.232,FedEx Forum,638332
MIA,2019,2018-19,39,43,40,42,-0.23,-0.22,-0.45,107.3,107.6,98.2,0.247,0.368,0.515,0.131,0.248,0.172,0.51,0.127,0.776,0.201,AmericanAirlines Arena,805264
MIL,2019,2018-19,60,22,61,21,8.87,-0.82,8.04,113.8,105.2,103.3,0.255,0.419,0.55,0.12,0.208,0.197,0.503,0.115,0.803,0.162,Fiserv Forum,721692
MIN,2019,2018-19,36,46,37,45,-1.5,0.48,-1.02,111.4,112.9,100.2,0.267,0.315,0.511,0.114,0.246,0.21,0.538,0.129,0.749,0.19,Target Center,627543
NOP,2019,2018-19,33,49,38,44,-1.33,0.23,-1.1,111.4,112.6,103.3,0.254,0.324,0.529,0.126,0.241,0.193,0.532,0.116,0.768,0.193,Smoothie King Center,656183
NYK,2019,2018-19,17,65,19,63,-9.21,0.28,-8.93,104.5,113.7,99.6,0.27,0.334,0.49,0.124,0.221,0.205,0.533,0.117,0.761,0.203,Madison Square Garden (IV),779087
OKC,2019,2018-19,49,33,50,32,3.4,0.15,3.56,110.3,107,102.8,0.266,0.347,0.514,0.117,0.26,0.19,0.523,0.144,0.782,0.206,Chesapeake Energy Arena,746323
ORL,2019,2018-19,42,40,43,39,0.71,-0.43,0.28,108.9,108.1,98.1,0.216,0.36,0.518,0.119,0.22,0.168,0.515,0.118,0.797,0.186,Amway Center,720024
PHI,2019,2018-19,51,31,48,34,2.7,-0.44,2.25,112.6,110,101.6,0.312,0.342,0.532,0.129,0.245,0.241,0.512,0.111,0.786,0.206,Wells Fargo Center,838342
PHO,2019,2018-19,19,63,19,63,-9.34,0.73,-8.61,105.9,115.1,100.5,0.259,0.335,0.514,0.138,0.205,0.202,0.545,0.135,0.725,0.236,Talking Stick Resort Arena,627023
POR,2019,2018-19,53,29,51,31,4.2,0.24,4.43,114.7,110.5,99.1,0.258,0.339,0.528,0.121,0.266,0.21,0.516,0.11,0.779,0.195,Moda Center,799345
SAC,2019,2018-19,39,43,38,44,-1.12,0.31,-0.81,110.4,111.5,103.1,0.244,0.321,0.524,0.115,0.231,0.177,0.533,0.136,0.755,0.207,Golden 1 Center,700975
SAS,2019,2018-19,48,34,45,37,1.68,0.12,1.8,112.9,111.2,98.3,0.237,0.286,0.534,0.11,0.21,0.194,0.528,0.11,0.794,0.17,AT&T Center,750616
TOR,2019,2018-19,58,24,56,26,6.09,-0.6,5.49,113.1,107.1,100.2,0.247,0.379,0.543,0.124,0.219,0.198,0.509,0.131,0.771,0.19,Scotiabank Arena,812822
UTA,2019,2018-19,50,32,54,28,5.26,0.03,5.28,110.9,105.7,100.3,0.295,0.394,0.538,0.134,0.229,0.217,0.507,0.124,0.803,0.189,Vivint Smart Home Arena,750546
WAS,2019,2018-19,32,50,34,48,-2.9,-0.4,-3.3,111.1,113.9,101.4,0.266,0.37,0.531,0.123,0.213,0.204,0.546,0.135,0.741,0.199,Capital One Arena,716996
